image,emotion
Maria_Shriver_0004.jpg,😐
Biljana_Plavsic_0003.jpg,😐
Iban_Mayo_0002.jpg,🙂
Nasser_al-Kidwa_0002.jpg,😐
Colin_Powell_0085.jpg,😐
David_Duval_0001.jpg,🙂
Larry_Campbell_0001.jpg,🙂
Hosni_Mubarak_0008.jpg,🙂
Gerhard_Schroeder_0059.jpg,😐
Brandon_Lloyd_0001.jpg,😐
Al_Sharpton_0007.jpg,😐
Hugo_Chavez_0058.jpg,😐
Ari_Fleischer_0006.jpg,😐
Qian_Qichen_0001.jpg,🙂
Serena_Williams_0008.jpg,😠
Christian_Wulff_0002.jpg,🙂
Paul_ONeill_0008.jpg,😐
Harrison_Ford_0002.jpg,😐
Caroline_Kennedy_0001.jpg,😐
Kim_Clijsters_0007.jpg,😐
Edmund_Stoiber_0007.jpg,🙂
Chris_Bell_0001.jpg,😐
Costas_Simitis_0003.jpg,😐
Oscar_Elias_Biscet_0001.jpg,😐
Jacques_Rogge_0010.jpg,😐
Bart_Hendricks_0001.jpg,😐
Li_Zhaoxing_0008.jpg,🙂
Tony_Blair_0020.jpg,🙂
Tracee_Treadwell_0001.jpg,😐
John_Manley_0002.jpg,😐
Silvia_Farina_Elia_0002.jpg,😐
Evan_Rachel_Wood_0001.jpg,🙂
Madge_Overhouse_0001.jpg,🙂
Mary_Carey_0004.jpg,😖
Manuel_Pellegrini_0001.jpg,🙂
Zinedine_Zidane_0003.jpg,😐
Donald_Rumsfeld_0097.jpg,😐
Paul_Martin_0007.jpg,🙂
Allan_Wagner_0001.jpg,😐
Roh_Moo-hyun_0014.jpg,🙂
Kate_Hudson_0007.jpg,🙂
David_Surrett_0001.jpg,😐
Felicity_Huffman_0001.jpg,🙂
Carl_Levin_0001.jpg,😐
Amy_Pascal_0001.jpg,🙂
Jackie_Chan_0013.jpg,🙂
Hugo_Chavez_0015.jpg,😐
KatrinaKaif_57.jpg,🙂
Ismail_Khan_0001.jpg,😐
James_Blake_0012.jpg,😳
Jan-Michael_Gambill_0001.jpg,😐
Jia_Qinglin_0002.jpg,😐
Gray_Davis_0022.jpg,😐
Sergey_Lavrov_0010.jpg,😐
Ibrahim_Jaafari_0001.jpg,😐
Enrique_Bolanos_0005.jpg,🙂
James_Brosnahan_0001.jpg,😳
Aaron_Sorkin_0002.jpg,🙂
Emelie_Loit_0001.jpg,😐
Brett_Perry_0001.jpg,😐
KatrinaKaif_72.jpg,😖
Madonna_0005.jpg,🙂
Cindy_Klassen_0001.jpg,🙂
Naomi_Watts_0017.jpg,🙂
Alberta_Lee_0001.jpg,🙂
Mike_Babcock_0001.jpg,😐
Martin_Short_0001.jpg,🙂
Tom_Hanks_0006.jpg,🙂
Tom_Harkin_0001.jpg,😐
Colin_Powell_0014.jpg,🙂
George_W_Bush_0342.jpg,😐
John_Danforth_0001.jpg,🙂
Jean_Charest_0007.jpg,🙂
Christine_Gregoire_0003.jpg,😐
Saddam_Hussein_0020.jpg,😐
George_W_Bush_0038.jpg,😐
Arantxa_Sanchez-Vicario_0001.jpg,🙂
Colin_Powell_0024.jpg,🙂
Mahathir_Mohamad_0013.jpg,😐
Paula_Radcliffe_0006.jpg,🙂
Oracene_Williams_0001.jpg,🙂
BJ_Habibie_0001.jpg,🙂
Joe_Lieberman_0010.jpg,😐
Hugo_Chavez_0019.jpg,🙂
Warren_Beatty_0001.jpg,🙂
Tony_Blair_0067.jpg,🙂
Abdullah_Gul_0001.jpg,😐
FaridaJalal_104.jpg,😖
grinim (28).jpeg,😬
JK_Rowling_0005.jpg,🙂
Quin_Snyder_0001.jpg,🙂
Ilan_Ramon_0001.jpg,🙂
William_Donaldson_0003.jpg,😐
Sharon_Stone_0004.jpg,😐
Jean_Charest_0008.jpg,🙂
Christine_Arron_0001.jpg,😐
Mahmoud_Abbas_0015.jpg,😐
Mathias_Reichhold_0002.jpg,🙂
Yang_Pao-yu_0001.jpg,🙂
Claudia_Cardinale_0001.jpg,😐
Dwarakish_21.jpg,😖
Dileep_56.jpg,🙁
David_Heymann_0003.jpg,😐
George_W_Bush_0069.jpg,😐
Frederick_Madden_0001.jpg,😐
FaridaJalal_42.jpg,🙂
Thomas_Bjorn_0001.jpg,🙂
Colin_Powell_0154.jpg,😐
Sophia_Loren_0007.jpg,🙂
Laura_Bush_0041.jpg,🙂
Joanna_Poitier_0001.jpg,🙂
Uzi_Even_0001.jpg,🙂
Carlos_Bianchi_0002.jpg,😐
Condoleezza_Rice_0009.jpg,😐
Elinor_Caplan_0002.jpg,😐
SharmilaTagore_39.jpg,🙂
Dwarakish_165.jpg,😖
Juan_Carlos_Ferrero_0002.jpg,🙂
SharmilaTagore_56.jpg,🙂
George_W_Bush_0344.jpg,😐
Jorge_Arce_0001.jpg,😐
Francis_Ford_Coppola_0001.jpg,🙂
FaridaJalal_112.jpg,🙂
Marc_Racicot_0001.jpg,😐
George_W_Bush_0215.jpg,😐
Michael_Killeen_0001.jpg,🙂
SharmilaTagore_48.jpg,🙂
Christine_Gregoire_0002.jpg,😐
Zhang_Wenkang_0002.jpg,🙂
Megawati_Sukarnoputri_0016.jpg,🙂
Jayamadhuri_33.jpg,😖
Munir_Akram_0001.jpg,😐
Rhett_Warrener_0001.jpg,🙂
Laurent_Jalabert_0001.jpg,🙂
Akbar_Hashemi_Rafsanjani_0001.jpg,😐
Ion_Tiriac_0001.jpg,😐
Robert_Wagner_0001.jpg,🙂
Joey_Mantia_0001.jpg,😐
Tali_Imani_0001.jpg,😠
Rich_Brooks_0001.jpg,😐
Colin_Powell_0044.jpg,🙂
Mark_Broxmeyer_0001.jpg,🙂
Crispin_Glover_0001.jpg,🙂
Maureen_Fanning_0001.jpg,😐
Sandra_Shamas_0001.jpg,🙂
Colleen_OClair_0001.jpg,😐
Bill_King_0001.jpg,😐
George_W_Bush_0404.jpg,😐
Dwarakish_103.jpg,😖
Andrew_Bunner_0001.jpg,😐
Kyoko_Nakayama_0001.jpg,😐
Trent_Lott_0009.jpg,😐
Nestor_Kirchner_0026.jpg,🙂
Jayamadhuri_142.jpg,🙂
Carrie-Anne_Moss_0005.jpg,😐
Gerhard_Schroeder_0034.jpg,😐
John_Bolton_0010.jpg,😐
Scott_Wolf_0002.jpg,😐
Joe_Carnahan_0001.jpg,😐
Eric_Ryan_Donnelly_0001.jpg,😳
Dwarakish_35.jpg,😖
Charles_Taylor_0005.jpg,😐
Jayamadhuri_118.jpg,😖
George_W_Bush_0466.jpg,😳
Fernando_Gonzalez_0007.jpg,🙂
Emma_Watson_0001.jpg,😐
HrithikRoshan_156.jpg,🙂
Avinash_8.jpg,🙁
Carlo_Ancelotti_0003.jpg,😐
Martin_Frost_0001.jpg,😐
Melissa_Stark_0001.jpg,😐
George_W_Bush_0118.jpg,😐
Vladimir_Putin_0045.jpg,😐
HrithikRoshan_74.jpg,🙂
Ariel_Sharon_0013.jpg,😐
David_Dorfman_0001.jpg,🙂
Joe_Plumeri_0001.jpg,🙂
Gonzalo_Sanchez_de_Lozada_0001.jpg,🙂
Joan_Collins_0001.jpg,🙂
Ciro_Gomes_0003.jpg,🙂
George_W_Bush_0181.jpg,😐
Chin-Feng_Chen_0001.jpg,🙂
Colin_Powell_0162.jpg,🙂
George_W_Bush_0056.jpg,😳
Donald_Rumsfeld_0018.jpg,😐
Josh_Evans_0001.jpg,😠
Ricardo_Sanchez_0004.jpg,😐
Phil_Bennett_0001.jpg,😠
Richard_Parsons_0001.jpg,😐
Abdullah_Gul_0014.jpg,😐
Jamling_Norgay_0002.jpg,🙂
Kate_Hudson_0009.jpg,🙂
Stanley_Ho_0001.jpg,😐
Bo_Ryan_0001.jpg,😳
George_W_Bush_0357.jpg,😐
Larry_Lucchino_0001.jpg,😐
Ben_Affleck_0003.jpg,🙂
Venus_Williams_0003.jpg,😐
Harvey_Weinstein_0001.jpg,🙂
George_W_Bush_0292.jpg,🙂
Dwarakish_185.jpg,😖
George_W_Bush_0446.jpg,🙂
William_Ford_Jr_0004.jpg,😐
Gonzalo_Sanchez_de_Lozada_0010.jpg,😐
Joe_Lieberman_0008.jpg,🙂
Hugo_Chavez_0033.jpg,😐
George_W_Bush_0340.jpg,😐
Jayamadhuri_65.jpg,😖
George_W_Bush_0252.jpg,🙂
Markus_Naslund_0001.jpg,🙂
Jewel_Howard-Taylor_0001.jpg,🙂
Dick_Clark_0001.jpg,🙂
Steve_Nash_0005.jpg,😐
Paul_Burrell_0005.jpg,😐
Ricardo_Lagos_0010.jpg,😐
Jaqueline_Godoy_0001.jpg,🙂
Condoleezza_Rice_0011.jpg,😐
Nathan_Powell_0001.jpg,😐
Bruce_Van_De_Velde_0002.jpg,🙁
Colin_Powell_0086.jpg,😐
Julia_Tymoshenko_0002.jpg,😐
Colin_Powell_0132.jpg,😐
Heidi_Klum_0002.jpg,🙂
John_Manley_0001.jpg,😐
Dwarakish_14.jpg,😨
Jefferson_Perez_0001.jpg,😐
Robert_F_Kennedy_Jr_0001.jpg,😐
Lesley_McCulloch_0002.jpg,😐
Andrew_Caldecott_0001.jpg,😐
tongueim (1).jpeg,😜
Jiri_Novak_0004.jpg,😳
Chris_Kolanas_0001.jpg,🙂
Omar_Vizquel_0001.jpg,😐
Oscar_de_la_Renta_0001.jpg,😐
Michael_Phelps_0003.jpg,🙂
George_W_Bush_0354.jpg,😠
Valdas_Adamkus_0001.jpg,😐
Dwarakish_145.jpg,😖
HrithikRoshan_89.jpg,😐
Charles_Moose_0013.jpg,😠
Saparmurat_Niyazov_0002.jpg,🙂
David_Ho_0001.jpg,😐
David_Zeplowitz_0001.jpg,🙂
Laura_Bush_0033.jpg,🙂
Gustavo_Noboa_0001.jpg,😐
Helo_Pinheiro_0001.jpg,🙂
Tom_Coughlin_0001.jpg,😐
Bill_Gates_0015.jpg,😐
Filippo_Volandri_0001.jpg,🙂
Dominique_de_Villepin_0012.jpg,🙂
Richard_Fine_0001.jpg,😐
Wei_Wu_0001.jpg,🙂
Nicklas_Lidstrom_0001.jpg,🙂
Sergei_Alexandrovitch_Ordzhonikidze_0001.jpg,😐
Juan_Valencia_Osorio_0001.jpg,😐
SharmilaTagore_50.jpg,🙂
FaridaJalal_86.jpg,😐
Erika_Harold_0005.jpg,🙂
David_Beckham_0016.jpg,😐
Colin_Powell_0221.jpg,😐
Nestor_Kirchner_0020.jpg,😐
Bono_0002.jpg,😐
Alex_Zanardi_0001.jpg,🙂
Maria_Simon_0001.jpg,🙂
Arnold_Schwarzenegger_0020.jpg,😐
Colin_Powell_0098.jpg,😐
HrithikRoshan_30.jpg,🙁
Sally_Kirkland_0004.jpg,🙂
Serena_Williams_0011.jpg,😠
Mitchell_Swartz_0001.jpg,😐
Atal_Bihari_Vajpayee_0004.jpg,😐
Mark_Foley_0001.jpg,😐
Mark_Geragos_0002.jpg,😐
Mikulas_Dzurinda_0002.jpg,🙂
Chante_Jawan_Mallard_0001.jpg,🙁
Dwarakish_105.jpg,😖
Elaine_Chao_0001.jpg,😐
Oxana_Fedorova_0004.jpg,🙂
Chen_Shui-bian_0003.jpg,🙂
Roberto_Cavalli_0001.jpg,😐
grin (3).jpeg,😬
Monica_Bellucci_0001.jpg,😳
Anthony_Garotinho_0001.jpg,🙂
James_Gibson_0001.jpg,🙂
George_W_Bush_0400.jpg,😐
Alejandro_Toledo_0014.jpg,😐
Federico_Castelan_Sayre_0001.jpg,😐
Marty_Mornhinweg_0001.jpg,😐
James_Blake_0011.jpg,😐
Laura_Linney_0003.jpg,🙂
George_W_Bush_0172.jpg,😳
Gordon_Brown_0002.jpg,🙂
Julianne_Moore_0015.jpg,😐
Jean-Pierre_Raffarin_0001.jpg,😐
Lynne_Cheney_0003.jpg,😳
Avinash_25.jpg,🙁
Dick_Latessa_0002.jpg,🙂
Anna_Kournikova_0002.jpg,🙂
Linda_Ham_0001.jpg,🙂
Brenda_Wilson_0001.jpg,🙂
Tim_Henman_0001.jpg,😠
Adrian_McPherson_0001.jpg,😐
Wes_Craven_0001.jpg,🙂
Alan_Mulally_0001.jpg,😐
George_W_Bush_0348.jpg,😐
Alejandro_Toledo_0037.jpg,😐
Uma_Thurman_0003.jpg,🙂
Juan_Carlos_Ferrero_0026.jpg,😐
Georgia_Giddings_0001.jpg,🙁
Colin_Powell_0196.jpg,😐
Uri_Lopolianski_0001.jpg,🙂
Lisa_Raymond_0001.jpg,😐
Carrie-Anne_Moss_0001.jpg,😐
Tassos_Papadopoulos_0001.jpg,😐
Michael_Schumacher_0009.jpg,🙂
Richard_Gere_0009.jpg,😐
Hamid_Karzai_0004.jpg,🙂
Haydar_Aliyev_0001.jpg,🙂
Megawati_Sukarnoputri_0014.jpg,😐
Pervez_Musharraf_0015.jpg,😐
Liu_Xiaoqing_0001.jpg,🙂
Dileep_3.jpg,😐
Natalie_Coughlin_0002.jpg,🙂
George_W_Bush_0500.jpg,🙂
Jesse_Ventura_0001.jpg,😐
Sheryl_Crow_0002.jpg,🙂
Stefano_Gabbana_0001.jpg,🙂
Jelena_Dokic_0003.jpg,😐
Hugo_Chavez_0070.jpg,🙁
Latrell_Sprewell_0002.jpg,🙂
Eva_Amurri_0001.jpg,🙂
Silvio_Berlusconi_0009.jpg,🙂
Robert_Ehrlich_0001.jpg,😳
Hu_Jintao_0011.jpg,😐
Elsa_Zylberstein_0006.jpg,😐
Jean_Charest_0006.jpg,🙂
Bill_Frist_0009.jpg,😐
Joan_Laporta_0006.jpg,😐
Kirk_Douglas_0001.jpg,😐
Chris_Bell_0002.jpg,🙁
John_Ashcroft_0014.jpg,😐
Amelie_Mauresmo_0002.jpg,😳
Kelvin_Sampson_0001.jpg,😐
Alexandre_Vinokourov_0001.jpg,😐
Eliane_Karp_0004.jpg,🙂
Yoon_Won-Sik_0001.jpg,😐
Nicolas_Escude_0002.jpg,😐
Luiz_Inacio_Lula_da_Silva_0031.jpg,🙂
Jiang_Zemin_0006.jpg,🙂
grinim (25).jpeg,😬
Patrick_McEnroe_0002.jpg,😐
Alvaro_Uribe_0029.jpg,😐
Dustan_Mohr_0001.jpg,😐
Gordana_Grubin_0001.jpg,😐
Jerry_Springer_0004.jpg,😐
tongueim (61).jpeg,😜
Miguel_Juarez_Perez_0001.jpg,🙂
Luc_Montagnier_0001.jpg,🙂
Colin_Powell_0115.jpg,😐
Vladimir_Putin_0024.jpg,🙂
tongue (18).jpeg,😜
Claire_Danes_0003.jpg,🙂
Keith_Van_Horn_0001.jpg,🙂
Zach_Parise_0001.jpg,😐
Emyr_Jones_Parry_0001.jpg,😐
Alfredo_di_Stefano_0001.jpg,😐
John_Wayne_0001.jpg,😐
Nancy_Reagan_0001.jpg,🙂
Akiko_Morigami_0001.jpg,😐
Juan_Carlos_Ferrero_0004.jpg,😐
Jeremy_Wotherspoon_0001.jpg,😳
Atal_Bihari_Vajpayee_0006.jpg,😐
Monica_Seles_0001.jpg,😳
Guillermo_Coria_0014.jpg,😐
Wayne_Ferreira_0004.jpg,😳
Kimi_Raikkonen_0003.jpg,😐
Martin_McGuinness_0001.jpg,😐
Trent_Lott_0011.jpg,🙂
James_Butts_0002.jpg,😐
Feliciano_Lopez_0001.jpg,😐
Salman_Khan_0001.jpg,😐
Cecilia_Bolocco_0002.jpg,🙂
Yasser_Arafat_0006.jpg,😐
Gina_Gershon_0001.jpg,😐
Robin_Williams_0001.jpg,😐
Charlie_Deane_0001.jpg,😐
Dorothy_Loudon_0001.jpg,🙂
John_Negroponte_0003.jpg,🙂
Keanu_Reeves_0006.jpg,😐
Gary_Doer_0003.jpg,😐
Adrien_Brody_0001.jpg,🙂
David_Beckham_0021.jpg,😐
George_W_Bush_0035.jpg,😐
tongueim (54).jpeg,😜
William_Ford_Jr_0007.jpg,🙂
Faye_Dunaway_0003.jpg,🙂
Michael_Munoz_0001.jpg,😐
Michael_Chiklis_0002.jpg,😐
Recep_Tayyip_Erdogan_0003.jpg,🙂
Frank_Keating_0001.jpg,😐
Princess_Maxima_0001.jpg,😠
Marco_Antonio_Barrera_0004.jpg,🙂
Ariel_Sharon_0043.jpg,😐
Carla_Moreno_0001.jpg,🙂
Yoriko_Kawaguchi_0008.jpg,🙂
Mary_Lou_Retton_0001.jpg,🙂
Gloria_Macapagal_Arroyo_0043.jpg,😐
George_Lopez_0002.jpg,😳
Penelope_Cruz_0002.jpg,🙂
Tommy_Lewis_0001.jpg,😐
Jaouad_Gharib_0001.jpg,😳
Antonio_Palocci_0004.jpg,😐
Mark_Gottfried_0002.jpg,😐
Charlie_Sheen_0001.jpg,😐
Mary_Landrieu_0003.jpg,🙂
Jean-David_Levitte_0001.jpg,😐
Sergey_Lavrov_0011.jpg,😐
Bobby_Goldwater_0001.jpg,😐
Dileep_48.jpg,😳
Lauren_Hutton_0001.jpg,🙂
Lea_Fastow_0002.jpg,😐
Margaret_Okayo_0001.jpg,🙂
Hugo_Chavez_0003.jpg,😐
Michael_Richards_0001.jpg,🙂
Richard_Myers_0006.jpg,🙂
Junichiro_Koizumi_0060.jpg,🙂
Lee_Hoi-chang_0001.jpg,🙂
Ruben_Studdard_0002.jpg,🙂
Atal_Bihari_Vajpayee_0002.jpg,🙂
Donald_Rumsfeld_0054.jpg,😐
Edward_Burns_0001.jpg,🙂
Mel_Gibson_0001.jpg,🙂
Vicente_Fox_0023.jpg,😐
George_W_Bush_0082.jpg,🙂
